ticket_id,created_at,sprint,language,ticket_type_pred,workflow_pred,area_of_emr_pred,confidence,flagged_for_review,review_reason,pii_entities_redacted,pii_escape,taxonomy_version,model_version
AVA-1075,2026-06-22T15:30:00,1,en,documentation,scheduling,interoperability,0.749,0,,1,0,1.4.0,qwen3.5:9b
AVA-1076,2026-06-22T12:43:00,1,en,bug_report,scheduling,patient_portal,0.828,0,,0,0,1.4.0,qwen3.5:9b
AVA-1077,2026-06-22T15:52:00,1,en,documentation,charting,interoperability,0.735,0,,0,0,1.4.0,qwen3.5:9b
AVA-1078,2026-06-25T17:19:00,1,en,bug_report,billing,lab_integration,0.95,0,,2,0,1.4.0,qwen3.5:9b
AVA-1079,2026-06-23T18:22:00,1,en,bug_report,billing,pharmacy,0.805,0,,2,0,1.4.0,qwen3.5:9b
AVA-1080,2026-06-28T18:42:00,1,fr,question,billing,clinical_documentation,0.923,0,,4,0,1.4.0,qwen3.5:9b
AVA-1081,2026-06-25T09:10:00,1,en,feature_request,charting,clinical_documentation,0.911,0,,0,0,1.4.0,qwen3.5:9b
AVA-1082,2026-06-25T13:35:00,1,en,documentation,patient_intake,pharmacy,0.898,0,,1,0,1.4.0,qwen3.5:9b
AVA-1083,2026-06-26T16:02:00,1,en,bug_report,orders_and_results,lab_integration,0.51,1,below_confidence_gate,0,0,1.4.0,qwen3.5:9b
AVA-1084,2026-06-26T12:31:00,1,en,feature_request,orders_and_results,lab_integration,0.822,0,,2,0,1.4.0,qwen3.5:9b
AVA-1085,2026-06-22T16:27:00,1,fr,access_request,patient_intake,lab_integration,0.571,1,below_confidence_gate,0,0,1.4.0,qwen3.5:9b
AVA-1086,2026-06-28T10:34:00,1,en,bug_report,reporting,pharmacy,0.797,0,,1,0,1.4.0,qwen3.5:9b
AVA-1087,2026-06-23T14:34:00,1,en,feature_request,orders_and_results,patient_portal,0.9,0,,0,0,1.4.0,qwen3.5:9b
AVA-1088,2026-06-25T12:30:00,1,en,bug_report,scheduling,admin_console,0.593,1,below_confidence_gate,1,0,1.4.0,qwen3.5:9b
AVA-1089,2026-06-22T18:25:00,1,en,bug_report,reporting,admin_console,0.384,1,below_confidence_gate,0,0,1.4.0,qwen3.5:9b
AVA-1090,2026-06-26T17:19:00,1,en,bug_report,orders_and_results,patient_portal,0.789,0,,0,0,1.4.0,qwen3.5:9b
AVA-1091,2026-06-27T08:42:00,1,en,question,billing,admin_console,0.979,0,,2,0,1.4.0,qwen3.5:9b
AVA-1092,2026-06-25T16:28:00,1,en,access_request,orders_and_results,interoperability,0.561,1,below_confidence_gate,0,0,1.4.0,qwen3.5:9b
AVA-1093,2026-06-28T07:57:00,1,en,feature_request,scheduling,clinical_documentation,0.877,0,,0,0,1.4.0,qwen3.5:9b
AVA-1094,2026-06-23T10:16:00,1,fr,documentation,billing,interoperability,0.774,0,,0,0,1.4.0,qwen3.5:9b
AVA-1095,2026-06-27T07:59:00,1,en,documentation,reporting,clinical_documentation,0.802,0,,4,0,1.4.0,qwen3.5:9b
AVA-1096,2026-06-23T12:20:00,1,en,access_request,scheduling,clinical_documentation,0.722,0,,1,0,1.4.0,qwen3.5:9b
AVA-1097,2026-06-22T18:24:00,1,en,question,billing,pharmacy,0.78,0,,2,0,1.4.0,qwen3.5:9b
AVA-1098,2026-06-28T14:57:00,1,fr,bug_report,billing,lab_integration,0.848,0,,0,0,1.4.0,qwen3.5:9b
AVA-1099,2026-06-24T12:01:00,1,fr,bug_report,scheduling,pharmacy,0.803,0,,1,0,1.4.0,qwen3.5:9b
AVA-1100,2026-06-23T18:01:00,1,en,feature_request,billing,pharmacy,0.878,0,,1,0,1.4.0,qwen3.5:9b
AVA-1101,2026-06-25T14:32:00,1,en,documentation,scheduling,pharmacy,0.739,0,,0,0,1.4.0,qwen3.5:9b
AVA-1102,2026-06-28T14:15:00,1,en,bug_report,scheduling,interoperability,0.94,0,,1,0,1.4.0,qwen3.5:9b
AVA-1103,2026-06-22T10:03:00,1,en,documentation,scheduling,clinical_documentation,0.804,0,,1,0,1.4.0,qwen3.5:9b
AVA-1104,2026-06-28T07:41:00,1,en,feature_request,charting,lab_integration,0.807,0,,0,0,1.4.0,qwen3.5:9b
AVA-1105,2026-06-23T15:20:00,1,en,bug_report,scheduling,interoperability,0.891,0,,4,0,1.4.0,qwen3.5:9b
AVA-1106,2026-06-24T13:22:00,1,en,documentation,reporting,patient_portal,0.841,0,,1,0,1.4.0,qwen3.5:9b
AVA-1107,2026-06-22T08:55:00,1,en,feature_request,billing,admin_console,0.956,0,,0,0,1.4.0,qwen3.5:9b
AVA-1108,2026-06-23T13:46:00,1,en,bug_report,orders_and_results,interoperability,0.859,0,,4,0,1.4.0,qwen3.5:9b
AVA-1109,2026-06-28T11:04:00,1,fr,access_request,patient_intake,patient_portal,0.785,0,,2,0,1.4.0,qwen3.5:9b
AVA-1110,2026-06-25T18:02:00,1,en,question,charting,admin_console,0.954,0,,2,0,1.4.0,qwen3.5:9b
AVA-1111,2026-06-26T17:20:00,1,en,bug_report,patient_intake,lab_integration,0.8,0,,0,0,1.4.0,qwen3.5:9b
AVA-1112,2026-06-24T17:45:00,1,en,feature_request,reporting,interoperability,0.961,0,,0,0,1.4.0,qwen3.5:9b
AVA-1113,2026-06-25T07:32:00,1,en,question,scheduling,patient_portal,0.957,0,,1,0,1.4.0,qwen3.5:9b
AVA-1114,2026-06-22T07:45:00,1,fr,access_request,patient_intake,pharmacy,0.885,0,,0,0,1.4.0,qwen3.5:9b
AVA-1115,2026-06-23T07:22:00,1,fr,documentation,orders_and_results,patient_portal,0.389,1,below_confidence_gate,1,0,1.4.0,qwen3.5:9b
AVA-1116,2026-06-26T17:34:00,1,fr,bug_report,charting,clinical_documentation,0.616,1,below_confidence_gate,0,0,1.4.0,qwen3.5:9b
AVA-1117,2026-06-22T12:53:00,1,en,bug_report,charting,admin_console,0.816,0,,0,0,1.4.0,qwen3.5:9b
AVA-1118,2026-06-24T09:13:00,1,en,documentation,scheduling,interoperability,0.896,0,,0,0,1.4.0,qwen3.5:9b
AVA-1119,2026-06-22T17:33:00,1,en,access_request,reporting,interoperability,0.889,0,,3,0,1.4.0,qwen3.5:9b
AVA-1120,2026-06-26T09:59:00,1,en,feature_request,reporting,clinical_documentation,0.887,0,,0,0,1.4.0,qwen3.5:9b
AVA-1121,2026-06-26T17:30:00,1,en,question,scheduling,admin_console,0.878,0,,1,0,1.4.0,qwen3.5:9b
AVA-1122,2026-06-22T09:14:00,1,en,bug_report,orders_and_results,interoperability,0.929,0,,0,0,1.4.0,qwen3.5:9b
AVA-1123,2026-06-23T14:04:00,1,en,bug_report,scheduling,interoperability,0.731,0,,0,0,1.4.0,qwen3.5:9b
AVA-1124,2026-06-27T17:09:00,1,en,bug_report,orders_and_results,admin_console,0.979,0,,0,0,1.4.0,qwen3.5:9b
AVA-1125,2026-06-26T11:51:00,1,en,feature_request,billing,admin_console,0.971,0,,0,0,1.4.0,qwen3.5:9b
AVA-1126,2026-06-24T17:21:00,1,fr,question,billing,interoperability,0.921,0,,1,0,1.4.0,qwen3.5:9b
AVA-1127,2026-06-23T07:58:00,1,en,bug_report,scheduling,clinical_documentation,0.867,0,,0,0,1.4.0,qwen3.5:9b
AVA-1128,2026-06-27T10:45:00,1,en,question,charting,interoperability,0.887,0,,1,0,1.4.0,qwen3.5:9b
AVA-1129,2026-06-23T16:20:00,1,en,feature_request,patient_intake,pharmacy,0.837,0,,0,0,1.4.0,qwen3.5:9b
AVA-1130,2026-06-24T07:29:00,1,en,feature_request,patient_intake,lab_integration,0.929,0,,1,0,1.4.0,qwen3.5:9b
AVA-1131,2026-06-24T09:41:00,1,en,access_request,orders_and_results,interoperability,0.916,0,,1,0,1.4.0,qwen3.5:9b
AVA-1132,2026-06-24T08:00:00,1,en,feature_request,scheduling,pharmacy,0.761,0,,1,0,1.4.0,qwen3.5:9b
AVA-1133,2026-06-22T09:10:00,1,en,feature_request,scheduling,pharmacy,0.812,0,,1,0,1.4.0,qwen3.5:9b
AVA-1134,2026-06-23T11:09:00,1,en,bug_report,scheduling,clinical_documentation,0.842,0,,0,0,1.4.0,qwen3.5:9b
AVA-1135,2026-06-28T10:43:00,1,en,feature_request,billing,admin_console,0.722,0,,3,0,1.4.0,qwen3.5:9b
AVA-1136,2026-06-28T14:17:00,1,en,question,reporting,admin_console,0.863,0,,1,0,1.4.0,qwen3.5:9b
AVA-1137,2026-06-27T14:40:00,1,en,documentation,charting,lab_integration,0.967,0,,1,0,1.4.0,qwen3.5:9b
AVA-1138,2026-06-24T08:11:00,1,en,question,reporting,lab_integration,0.763,0,,1,0,1.4.0,qwen3.5:9b
AVA-1139,2026-06-22T18:05:00,1,en,question,charting,admin_console,0.983,0,,0,0,1.4.0,qwen3.5:9b
AVA-1140,2026-06-28T12:22:00,1,en,bug_report,scheduling,interoperability,0.529,1,below_confidence_gate,0,0,1.4.0,qwen3.5:9b
AVA-1141,2026-06-25T14:37:00,1,en,documentation,orders_and_results,admin_console,0.888,0,,2,0,1.4.0,qwen3.5:9b
AVA-1142,2026-06-26T07:01:00,1,en,bug_report,orders_and_results,lab_integration,0.782,0,,3,0,1.4.0,qwen3.5:9b
AVA-1143,2026-06-27T15:36:00,1,fr,bug_report,patient_intake,pharmacy,0.724,0,,0,0,1.4.0,qwen3.5:9b
AVA-1144,2026-06-24T15:58:00,1,en,question,scheduling,lab_integration,0.958,0,,0,0,1.4.0,qwen3.5:9b
AVA-1145,2026-06-28T07:51:00,1,en,access_request,orders_and_results,clinical_documentation,0.81,0,,0,0,1.4.0,qwen3.5:9b
AVA-1146,2026-06-28T08:50:00,1,en,feature_request,patient_intake,interoperability,0.905,0,,1,0,1.4.0,qwen3.5:9b
AVA-1147,2026-06-23T17:10:00,1,en,bug_report,charting,patient_portal,0.758,0,,2,0,1.4.0,qwen3.5:9b
AVA-1148,2026-06-28T07:50:00,1,en,question,charting,lab_integration,0.838,0,,3,0,1.4.0,qwen3.5:9b
AVA-1149,2026-06-24T17:45:00,1,en,question,scheduling,lab_integration,0.742,0,,1,0,1.4.0,qwen3.5:9b
AVA-1150,2026-06-22T07:44:00,1,fr,access_request,patient_intake,lab_integration,0.878,0,,4,0,1.4.0,qwen3.5:9b
AVA-1151,2026-06-29T12:41:00,2,en,question,charting,pharmacy,0.857,0,,3,0,1.4.0,qwen3.5:9b
AVA-1152,2026-06-30T17:03:00,2,fr,documentation,patient_intake,interoperability,0.959,0,,2,0,1.4.0,qwen3.5:9b
AVA-1153,2026-06-30T14:39:00,2,fr,bug_report,reporting,lab_integration,0.453,1,below_confidence_gate,4,0,1.4.0,qwen3.5:9b
AVA-1154,2026-06-29T11:27:00,2,en,documentation,charting,admin_console,0.844,0,,1,0,1.4.0,qwen3.5:9b
AVA-1155,2026-07-05T10:39:00,2,en,access_request,scheduling,interoperability,0.488,1,below_confidence_gate,1,0,1.4.0,qwen3.5:9b
AVA-1156,2026-07-03T09:42:00,2,en,bug_report,billing,clinical_documentation,0.943,0,,0,0,1.4.0,qwen3.5:9b
AVA-1157,2026-07-05T16:46:00,2,en,documentation,reporting,admin_console,0.9,0,,1,0,1.4.0,qwen3.5:9b
AVA-1158,2026-07-01T09:54:00,2,en,feature_request,billing,patient_portal,0.76,0,,0,0,1.4.0,qwen3.5:9b
AVA-1159,2026-06-30T16:44:00,2,en,access_request,reporting,interoperability,0.859,0,,2,0,1.4.0,qwen3.5:9b
AVA-1160,2026-07-05T13:59:00,2,en,question,scheduling,clinical_documentation,0.871,0,,1,0,1.4.0,qwen3.5:9b
AVA-1161,2026-07-01T16:37:00,2,en,bug_report,billing,pharmacy,0.783,0,,1,0,1.4.0,qwen3.5:9b
AVA-1162,2026-06-29T16:33:00,2,en,bug_report,orders_and_results,admin_console,0.903,0,,2,0,1.4.0,qwen3.5:9b
AVA-1163,2026-07-03T12:50:00,2,en,question,billing,clinical_documentation,0.843,0,,0,0,1.4.0,qwen3.5:9b
AVA-1164,2026-06-29T13:10:00,2,en,bug_report,billing,lab_integration,0.702,1,below_confidence_gate,2,0,1.4.0,qwen3.5:9b
AVA-1165,2026-07-01T12:45:00,2,en,documentation,patient_intake,clinical_documentation,0.72,0,,2,0,1.4.0,qwen3.5:9b
AVA-1166,2026-07-02T11:15:00,2,en,feature_request,reporting,patient_portal,0.93,0,,1,0,1.4.0,qwen3.5:9b
AVA-1167,2026-07-04T10:40:00,2,en,question,scheduling,admin_console,0.76,0,,1,0,1.4.0,qwen3.5:9b
AVA-1168,2026-07-01T08:56:00,2,fr,question,scheduling,interoperability,0.841,0,,0,0,1.4.0,qwen3.5:9b
AVA-1169,2026-06-29T13:53:00,2,en,bug_report,patient_intake,clinical_documentation,0.733,0,,3,0,1.4.0,qwen3.5:9b
AVA-1170,2026-07-01T11:31:00,2,en,bug_report,patient_intake,clinical_documentation,0.908,0,,1,0,1.4.0,qwen3.5:9b
AVA-1171,2026-07-03T12:24:00,2,en,bug_report,patient_intake,clinical_documentation,0.919,0,,0,0,1.4.0,qwen3.5:9b
AVA-1172,2026-06-29T11:20:00,2,en,bug_report,charting,patient_portal,0.959,0,,1,0,1.4.0,qwen3.5:9b
AVA-1173,2026-07-01T11:03:00,2,en,bug_report,orders_and_results,interoperability,0.741,0,,1,0,1.4.0,qwen3.5:9b
AVA-1174,2026-07-01T16:07:00,2,en,feature_request,reporting,patient_portal,0.788,0,,1,0,1.4.0,qwen3.5:9b
AVA-1175,2026-06-29T13:58:00,2,en,bug_report,patient_intake,pharmacy,0.557,1,below_confidence_gate,1,0,1.4.0,qwen3.5:9b
AVA-1176,2026-06-29T09:28:00,2,en,bug_report,orders_and_results,patient_portal,0.812,0,,1,0,1.4.0,qwen3.5:9b
AVA-1177,2026-07-03T13:12:00,2,en,question,billing,lab_integration,0.742,0,,0,0,1.4.0,qwen3.5:9b
AVA-1178,2026-07-05T07:10:00,2,en,bug_report,patient_intake,clinical_documentation,0.759,0,,1,0,1.4.0,qwen3.5:9b
AVA-1179,2026-07-03T11:30:00,2,fr,bug_report,reporting,pharmacy,0.88,0,,1,0,1.4.0,qwen3.5:9b
AVA-1180,2026-07-03T17:10:00,2,en,bug_report,patient_intake,patient_portal,0.961,0,,4,0,1.4.0,qwen3.5:9b
AVA-1181,2026-07-03T16:06:00,2,en,question,patient_intake,interoperability,0.857,0,,0,0,1.4.0,qwen3.5:9b
AVA-1182,2026-07-03T12:38:00,2,en,documentation,orders_and_results,admin_console,0.834,0,,2,0,1.4.0,qwen3.5:9b
AVA-1183,2026-07-01T15:48:00,2,en,question,charting,interoperability,0.628,1,below_confidence_gate,2,0,1.4.0,qwen3.5:9b
AVA-1184,2026-07-01T16:27:00,2,en,bug_report,reporting,clinical_documentation,0.762,0,,1,0,1.4.0,qwen3.5:9b
AVA-1185,2026-06-29T18:18:00,2,en,question,orders_and_results,patient_portal,0.83,0,,0,0,1.4.0,qwen3.5:9b
AVA-1186,2026-07-05T08:52:00,2,en,question,charting,patient_portal,0.815,0,,3,0,1.4.0,qwen3.5:9b
AVA-1187,2026-07-03T09:25:00,2,en,feature_request,orders_and_results,admin_console,0.802,0,,4,0,1.4.0,qwen3.5:9b
AVA-1188,2026-06-29T10:23:00,2,en,feature_request,patient_intake,interoperability,0.974,0,,1,0,1.4.0,qwen3.5:9b
AVA-1189,2026-07-05T14:37:00,2,en,feature_request,orders_and_results,admin_console,0.723,0,,1,0,1.4.0,qwen3.5:9b
AVA-1190,2026-06-30T08:46:00,2,fr,feature_request,billing,lab_integration,0.773,0,,1,0,1.4.0,qwen3.5:9b
AVA-1191,2026-07-03T07:50:00,2,en,bug_report,charting,lab_integration,0.794,0,,1,0,1.4.0,qwen3.5:9b
AVA-1192,2026-06-30T18:21:00,2,en,documentation,billing,admin_console,0.834,0,,1,0,1.4.0,qwen3.5:9b
AVA-1193,2026-06-29T12:39:00,2,en,bug_report,scheduling,admin_console,0.649,1,below_confidence_gate,0,0,1.4.0,qwen3.5:9b
AVA-1194,2026-07-01T17:40:00,2,en,feature_request,orders_and_results,clinical_documentation,0.461,1,below_confidence_gate,0,0,1.4.0,qwen3.5:9b
AVA-1195,2026-07-01T12:54:00,2,fr,bug_report,charting,pharmacy,0.936,0,,2,0,1.4.0,qwen3.5:9b
AVA-1196,2026-07-02T15:46:00,2,en,bug_report,reporting,patient_portal,0.91,0,,1,0,1.4.0,qwen3.5:9b
AVA-1197,2026-06-29T10:38:00,2,en,bug_report,scheduling,clinical_documentation,0.957,0,,0,0,1.4.0,qwen3.5:9b
AVA-1198,2026-07-02T16:35:00,2,en,feature_request,scheduling,lab_integration,0.883,0,,0,0,1.4.0,qwen3.5:9b
AVA-1199,2026-06-30T14:52:00,2,en,bug_report,charting,patient_portal,0.821,0,,2,0,1.4.0,qwen3.5:9b
AVA-1200,2026-06-30T10:49:00,2,en,question,scheduling,interoperability,0.782,0,,3,0,1.4.0,qwen3.5:9b
AVA-1201,2026-07-02T13:42:00,2,fr,question,charting,patient_portal,0.948,0,,1,0,1.4.0,qwen3.5:9b
AVA-1202,2026-07-01T18:44:00,2,fr,access_request,billing,clinical_documentation,0.746,0,,1,0,1.4.0,qwen3.5:9b
AVA-1203,2026-07-02T14:59:00,2,en,bug_report,charting,pharmacy,0.756,0,,0,0,1.4.0,qwen3.5:9b
AVA-1204,2026-07-01T12:50:00,2,en,documentation,reporting,admin_console,0.748,0,,0,0,1.4.0,qwen3.5:9b
AVA-1205,2026-07-05T09:23:00,2,en,bug_report,charting,interoperability,0.798,0,,1,0,1.4.0,qwen3.5:9b
AVA-1206,2026-07-01T15:29:00,2,en,feature_request,reporting,patient_portal,0.507,1,below_confidence_gate,2,0,1.4.0,qwen3.5:9b
AVA-1207,2026-07-03T15:28:00,2,en,documentation,patient_intake,clinical_documentation,0.782,0,,3,0,1.4.0,qwen3.5:9b
AVA-1208,2026-07-02T07:45:00,2,en,feature_request,orders_and_results,lab_integration,0.823,0,,0,0,1.4.0,qwen3.5:9b
AVA-1209,2026-06-30T07:13:00,2,en,feature_request,reporting,interoperability,0.812,0,,0,0,1.4.0,qwen3.5:9b
AVA-1210,2026-06-29T07:15:00,2,en,feature_request,reporting,lab_integration,0.815,0,,1,0,1.4.0,qwen3.5:9b
AVA-1211,2026-06-29T14:23:00,2,en,bug_report,orders_and_results,patient_portal,0.725,0,,1,0,1.4.0,qwen3.5:9b
AVA-1212,2026-07-03T18:04:00,2,en,feature_request,reporting,pharmacy,0.914,0,,0,0,1.4.0,qwen3.5:9b
AVA-1213,2026-07-03T14:01:00,2,en,question,scheduling,pharmacy,0.961,0,,0,0,1.4.0,qwen3.5:9b
AVA-1214,2026-07-02T07:11:00,2,en,question,orders_and_results,pharmacy,0.948,0,,2,0,1.4.0,qwen3.5:9b
AVA-1215,2026-07-05T17:12:00,2,fr,question,scheduling,interoperability,0.739,0,,2,0,1.4.0,qwen3.5:9b
AVA-1216,2026-07-01T07:34:00,2,fr,question,scheduling,lab_integration,0.861,0,,3,0,1.4.0,qwen3.5:9b
AVA-1217,2026-07-02T09:25:00,2,en,bug_report,scheduling,clinical_documentation,0.827,0,,2,0,1.4.0,qwen3.5:9b
AVA-1218,2026-06-30T14:27:00,2,en,access_request,patient_intake,clinical_documentation,0.791,0,,1,0,1.4.0,qwen3.5:9b
AVA-1219,2026-07-01T11:21:00,2,fr,feature_request,orders_and_results,lab_integration,0.671,1,below_confidence_gate,2,0,1.4.0,qwen3.5:9b
AVA-1220,2026-07-01T17:54:00,2,en,documentation,scheduling,patient_portal,0.971,0,,0,0,1.4.0,qwen3.5:9b
AVA-1221,2026-06-30T09:31:00,2,en,access_request,orders_and_results,clinical_documentation,0.77,0,,4,0,1.4.0,qwen3.5:9b
AVA-1222,2026-06-29T08:50:00,2,en,access_request,reporting,patient_portal,0.951,0,,0,0,1.4.0,qwen3.5:9b
AVA-1223,2026-06-30T08:50:00,2,en,bug_report,reporting,patient_portal,0.764,0,,1,0,1.4.0,qwen3.5:9b
AVA-1224,2026-07-01T15:15:00,2,fr,question,charting,clinical_documentation,0.629,1,below_confidence_gate,2,0,1.4.0,qwen3.5:9b
AVA-1225,2026-06-30T07:31:00,2,en,question,orders_and_results,clinical_documentation,0.971,0,,1,0,1.4.0,qwen3.5:9b
AVA-1226,2026-06-30T15:13:00,2,en,feature_request,patient_intake,clinical_documentation,0.76,0,,2,0,1.4.0,qwen3.5:9b
AVA-1227,2026-07-04T10:39:00,2,en,access_request,reporting,interoperability,0.739,0,,1,0,1.4.0,qwen3.5:9b
AVA-1228,2026-06-30T13:20:00,2,en,bug_report,scheduling,admin_console,0.962,0,,0,0,1.4.0,qwen3.5:9b
AVA-1229,2026-06-29T18:59:00,2,en,bug_report,scheduling,patient_portal,0.862,0,,3,0,1.4.0,qwen3.5:9b
AVA-1230,2026-06-30T10:11:00,2,en,question,billing,admin_console,0.941,0,,0,0,1.4.0,qwen3.5:9b
AVA-1231,2026-06-30T15:42:00,2,en,access_request,patient_intake,lab_integration,0.851,0,,4,0,1.4.0,qwen3.5:9b
AVA-1232,2026-07-05T12:20:00,2,en,access_request,reporting,pharmacy,0.825,0,,0,0,1.4.0,qwen3.5:9b
AVA-1233,2026-07-02T10:09:00,2,en,bug_report,patient_intake,clinical_documentation,0.871,0,,0,0,1.4.0,qwen3.5:9b
AVA-1234,2026-07-04T09:26:00,2,en,bug_report,orders_and_results,admin_console,0.665,1,below_confidence_gate,0,0,1.4.0,qwen3.5:9b
AVA-1235,2026-07-01T16:14:00,2,en,feature_request,billing,admin_console,0.727,0,,1,0,1.4.0,qwen3.5:9b
AVA-1236,2026-07-03T10:33:00,2,en,access_request,reporting,interoperability,0.949,0,,0,0,1.4.0,qwen3.5:9b
AVA-1237,2026-07-04T12:19:00,2,en,bug_report,patient_intake,admin_console,0.879,0,,1,0,1.4.0,qwen3.5:9b
AVA-1238,2026-07-02T18:06:00,2,en,question,orders_and_results,interoperability,0.933,0,,1,0,1.4.0,qwen3.5:9b
AVA-1239,2026-07-01T09:53:00,2,en,feature_request,orders_and_results,admin_console,0.853,0,,2,0,1.4.0,qwen3.5:9b
AVA-1240,2026-06-29T07:36:00,2,en,feature_request,reporting,admin_console,0.956,0,,0,0,1.4.0,qwen3.5:9b
AVA-1241,2026-06-29T14:39:00,2,en,question,orders_and_results,interoperability,0.643,1,below_confidence_gate,0,0,1.4.0,qwen3.5:9b
AVA-1242,2026-07-05T13:24:00,2,en,feature_request,reporting,patient_portal,0.732,0,,0,0,1.4.0,qwen3.5:9b
AVA-1243,2026-06-30T09:16:00,2,en,bug_report,scheduling,lab_integration,0.867,0,,1,0,1.4.0,qwen3.5:9b
AVA-1244,2026-07-02T14:46:00,2,en,bug_report,charting,lab_integration,0.754,0,,2,0,1.4.0,qwen3.5:9b
AVA-1245,2026-07-01T15:49:00,2,en,question,charting,clinical_documentation,0.794,0,,0,0,1.4.0,qwen3.5:9b
AVA-1246,2026-07-04T16:45:00,2,en,bug_report,scheduling,patient_portal,0.888,0,,0,0,1.4.0,qwen3.5:9b
